# Constructed from biom file
#OTU ID	B1C1a	B1C2a	B1C3a	B1C4a	B1O2b	B1O1b	taxonomy	KEGG_Description
K01365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	cathepsin L [EC:3.4.22.15]
K01364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	streptopain [EC:3.4.22.10]
K01361	2.0	4.0	12.0	14.0	10.0	5.0	0.0	lactocepin [EC:3.4.21.96]
K01360	0.0	0.0	0.0	0.0	0.0	0.0	0.0	proprotein convertase subtilisin/kexin type 2 [EC:3.4.21.94]
K01362	1505.0	1633.0	1480.0	1939.0	2827.0	1864.0	0.0	None
K02249	0.0	1.0	0.0	0.0	1.0	0.0	0.0	competence protein ComGG
K05841	117.0	82.0	39.0	115.0	83.0	64.0	0.0	sterol 3beta-glucosyltransferase [EC:2.4.1.173]
K05844	130.0	156.0	152.0	155.0	367.0	195.0	0.0	ribosomal protein S6 modification protein
K05845	367.0	397.0	306.0	614.0	523.0	358.0	0.0	osmoprotectant transport system substrate-binding protein
K05846	639.0	716.0	587.0	1063.0	1081.0	720.0	0.0	osmoprotectant transport system permease protein
K05847	473.0	537.0	427.0	744.0	806.0	511.0	0.0	osmoprotectant transport system ATP-binding protein
K00508	224.0	224.0	219.0	404.0	456.0	333.0	0.0	linoleoyl-CoA desaturase [EC:1.14.19.3]
K00500	198.0	238.0	232.0	301.0	351.0	228.0	0.0	phenylalanine-4-hydroxylase [EC:1.14.16.1]
K00507	492.0	606.0	548.0	860.0	1083.0	685.0	0.0	stearoyl-CoA desaturase (delta-9 desaturase) [EC:1.14.19.1]
K00504	5.0	5.0	4.0	8.0	6.0	6.0	0.0	peptidylglycine monooxygenase [EC:1.14.17.3]
K00505	1.0	1.0	1.0	2.0	7.0	3.0	0.0	tyrosinase [EC:1.14.18.1]
K12521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	minor pilin subunit PapF
K01101	206.0	155.0	97.0	326.0	181.0	151.0	0.0	4-nitrophenyl phosphatase [EC:3.1.3.41]
K01103	5.0	3.0	0.0	3.0	14.0	4.0	0.0	6-phosphofructo-2-kinase / fructose-2,6-bisphosphatase [EC:2.7.1.105 3.1.3.46]; fructose-2,6-bisphosphatase [EC:3.1.3.46]
K12520	0.0	0.0	0.0	0.0	0.0	0.0	0.0	minor pilin subunit PapE
K01104	906.0	931.0	909.0	1437.0	1659.0	1288.0	0.0	protein-tyrosine phosphatase [EC:3.1.3.48]
K05592	433.0	459.0	398.0	667.0	882.0	581.0	0.0	ATP-dependent RNA helicase DeaD [EC:3.6.4.13]; ATP-dependent RNA helicase DeaD
K05593	46.0	37.0	19.0	126.0	46.0	35.0	0.0	aminoglycoside 6-adenylyltransferase [EC:2.7.7.-]
K05590	1.0	0.0	0.0	0.0	8.0	0.0	0.0	ATP-dependent RNA helicase SrmB [EC:2.7.7.-]
K05591	11.0	13.0	16.0	6.0	36.0	14.0	0.0	ATP-independent RNA helicase DbpA [EC:3.6.4.13]; ATP-independent RNA helicase DbpA
K05596	74.0	59.0	75.0	67.0	142.0	99.0	0.0	LysR family transcriptional regulator, chromosome initiation inhibitor
K05597	0.0	0.0	0.0	1.0	6.0	0.0	0.0	glutamin-(asparagin-)ase [EC:3.5.1.38]
K05594	0.0	0.0	0.0	0.0	8.0	0.0	0.0	ElaB protein
K05595	444.0	516.0	458.0	615.0	761.0	529.0	0.0	multiple antibiotic resistance protein
K05599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	anthranilate 1,2-dioxygenase (deaminating, decarboxylating) large subunit [EC:1.14.12.1]
K11964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	pellino
K11962	0.0	6.0	3.0	3.0	28.0	3.0	0.0	urea transport system ATP-binding protein
K14540	55.0	39.0	37.0	50.0	109.0	99.0	0.0	ribosome biogenesis GTPase A
K12529	18.0	13.0	26.0	14.0	44.0	41.0	0.0	putative selenate reductase FAD-binding subunit
K12528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	putative selenate reductase molybdopterin-binding subunit
K06353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	phosphatase RapC regulator
K02456	562.0	721.0	714.0	883.0	1179.0	765.0	0.0	general secretion pathway protein G
K02457	73.0	70.0	83.0	74.0	185.0	114.0	0.0	general secretion pathway protein H
K02454	164.0	198.0	195.0	206.0	426.0	276.0	0.0	general secretion pathway protein E
K02455	138.0	179.0	155.0	188.0	351.0	217.0	0.0	general secretion pathway protein F
K02452	48.0	34.0	36.0	34.0	116.0	67.0	0.0	general secretion pathway protein C
K02453	344.0	467.0	438.0	558.0	726.0	468.0	0.0	general secretion pathway protein D
K02450	24.0	28.0	49.0	48.0	48.0	72.0	0.0	general secretion pathway protein A
K02103	126.0	77.0	31.0	114.0	77.0	67.0	0.0	GntR family transcriptional regulator, arabinose operon transcriptional repressor
K08138	3.0	0.0	3.0	2.0	2.0	1.0	0.0	MFS transporter, SP family, xylose:H+ symportor
K02108	705.0	733.0	649.0	1003.0	1171.0	858.0	0.0	F-type H+-transporting ATPase subunit a [EC:3.6.3.14]
K02109	879.0	944.0	879.0	1298.0	1503.0	1098.0	0.0	F-type H+-transporting ATPase subunit b [EC:3.6.3.14]
K02458	56.0	56.0	63.0	52.0	163.0	93.0	0.0	general secretion pathway protein I
K02459	51.0	52.0	52.0	46.0	139.0	85.0	0.0	general secretion pathway protein J
K08137	6.0	3.0	1.0	3.0	9.0	3.0	0.0	MFS transporter, SP family, galactose:H+ symporter
K03851	5.0	4.0	2.0	4.0	3.0	3.0	0.0	taurine-pyruvate aminotransferase [EC:2.6.1.77]
K03850	0.0	0.0	0.0	0.0	0.0	0.0	0.0	alpha-1,2-glucosyltransferase [EC:2.4.1.-]; alpha-1,2-glucosyltransferase [EC:2.4.1.256]
K03852	0.0	1.0	1.0	4.0	2.0	1.0	0.0	sulfoacetaldehyde acetyltransferase [EC:2.3.3.15]
K03855	65.0	46.0	57.0	77.0	89.0	77.0	0.0	ferredoxin like protein
K03856	867.0	896.0	752.0	1260.0	1304.0	973.0	0.0	3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
K13018	2.0	4.0	3.0	3.0	14.0	8.0	0.0	UDP-D-GlcNAc3NA acetyltransferase [EC:2.3.1.-]
K13019	16.0	16.0	15.0	20.0	43.0	31.0	0.0	UDP-GlcNAc3NAcA epimerase [EC:5.1.3.23]
K13010	32.0	30.0	31.0	34.0	70.0	51.0	0.0	perosamine synthetase
K13011	8.0	3.0	2.0	5.0	10.0	4.0	0.0	O-antigen biosynthesis protein WbqL
K13012	25.0	9.0	18.0	18.0	20.0	36.0	0.0	O-antigen biosynthesis protein WbqP
K13013	23.0	22.0	21.0	28.0	36.0	31.0	0.0	O-antigen biosynthesis protein WbqV
K13014	1.0	0.0	0.0	0.0	3.0	0.0	0.0	undecaprenyl phosphate-alpha-L-ara4FN deformylase [EC:3.5.-.-]
K13015	304.0	410.0	352.0	445.0	592.0	377.0	0.0	UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.-]
K13016	4.0	4.0	1.0	4.0	6.0	7.0	0.0	UDP-D-GlcNAcA oxidase [EC:1.1.1.-]
K13017	108.0	164.0	117.0	217.0	149.0	88.0	0.0	UDP-3-keto-D-GlcNAcA aminotransferase [EC:2.6.1.-]
K08566	1.0	0.0	0.0	0.0	2.0	0.0	0.0	plasminogen activator [EC:3.4.23.48]
K08567	133.0	115.0	100.0	162.0	209.0	144.0	0.0	hydrogenase 2 maturation protease [EC:3.4.24.-]
K13274	0.0	0.0	0.0	0.0	1.0	0.0	0.0	cell wall-associated protease [EC:3.4.21.-]
K13275	3.0	5.0	10.0	14.0	10.0	5.0	0.0	major intracellular serine protease [EC:3.4.21.-]
K13276	2.0	4.0	9.0	14.0	8.0	4.0	0.0	bacillopeptidase F [EC:3.4.21.-]
K13277	0.0	0.0	0.0	0.0	1.0	0.0	0.0	minor extracellular protease Epr [EC:3.4.21.-]
K03275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	UDP-glucose:(glucosyl)LPS alpha-1,3-glucosyltransferase [EC:2.4.1.-]
K03274	174.0	241.0	185.0	321.0	305.0	182.0	0.0	ADP-L-glycero-D-manno-heptose 6-epimerase [EC:5.1.3.20]
K03277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	heptosyltransferase IV [EC:2.4.-.-]
K03276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	UDP-glucose/galactose:(glucosyl)LPS alpha-1,2-glucosyl/galactosyltransferase [EC:2.4.1.-]
K03271	752.0	815.0	668.0	1144.0	1173.0	809.0	0.0	phosphoheptose isomerase [EC:5.-.-.-]
K03270	414.0	551.0	504.0	649.0	778.0	512.0	0.0	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K03273	389.0	458.0	390.0	628.0	669.0	454.0	0.0	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.-]
K03272	798.0	861.0	629.0	1098.0	1056.0	716.0	0.0	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase [EC:2.7.1.- 2.7.7.-]
K03279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	UDP-glucose:(galactosyl)LPS alpha-1,2-glucosyltransferase [EC:2.4.1.58]
K03278	0.0	0.0	0.0	0.0	0.0	0.0	0.0	UDP-D-galactose:(glucosyl)LPS alpha-1,3-D-galactosyltransferase [EC:2.4.1.44]
K11022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	structural toxin protein (hemagglutinin/hemolysin) RtxA
K12277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	MSHA biogenesis protein MshF
K12276	0.0	1.0	2.0	1.0	2.0	1.0	0.0	MSHA biogenesis protein MshE
K12270	0.0	0.0	0.0	0.0	0.0	5.0	0.0	accessory secretory protein Asp3
K11058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	enterotoxin Cpe
K12279	0.0	1.0	2.0	1.0	2.0	1.0	0.0	MSHA biogenesis protein MshI
K12278	0.0	1.0	2.0	1.0	2.0	1.0	0.0	MSHA biogenesis protein MshG
K07557	2.0	2.0	0.0	4.0	4.0	2.0	0.0	archaeosine tRNA-ribosyltransferase [EC:2.4.2.-]
K07550	0.0	0.0	0.0	0.0	0.0	0.0	0.0	benzoylsuccinyl-CoA thiolase BbsB subunit [EC:2.3.1.-]
